method,epoch,train_loss,train_acc,test_loss,test_acc
full,1,1.862959375,0.32602,1.4161580078125,0.4799
full,2,1.3071596875,0.52516,1.16277822265625,0.576
full,3,0.976450859375,0.65254,1.26153623046875,0.5797
full,4,0.779559921875,0.72552,0.8754244140625,0.708
full,5,0.6607028125,0.76918,0.80416884765625,0.7225
full,6,0.5801725390625,0.8,0.691253662109375,0.7583
full,7,0.5393404296875,0.8158,0.66048134765625,0.7775
full,8,0.505039609375,0.82752,0.726514404296875,0.7605
full,9,0.483354296875,0.83504,0.81767529296875,0.737
full,10,0.4613312890625,0.84348,0.644543115234375,0.7868
full,11,0.4400819140625,0.85064,0.561499560546875,0.8139
full,12,0.419810078125,0.85624,0.573622314453125,0.8075
full,13,0.40453875,0.86034,0.5776560546875,0.8087
full,14,0.3948533984375,0.86492,0.608380126953125,0.7982
full,15,0.37942640625,0.8711,0.475262060546875,0.8427
full,16,0.3647751953125,0.87448,0.561362890625,0.8149
full,17,0.3555601171875,0.87912,0.726977490234375,0.765
full,18,0.3423037109375,0.88144,0.445680078125,0.8485
full,19,0.3282859375,0.88778,0.399774853515625,0.8667
full,20,0.31530169921875,0.89306,0.3918619384765625,0.8703
full,21,0.30026361328125,0.8981,0.433394140625,0.8608
full,22,0.29639845703125,0.89954,0.40186572265625,0.8644
full,23,0.27915259765625,0.90502,0.452318701171875,0.8533
full,24,0.27119611328125,0.9072,0.3684123291015625,0.8769
full,25,0.2550309765625,0.91228,0.3509308349609375,0.8847
full,26,0.242796796875,0.91798,0.37109677734375,0.8798
full,27,0.23494375,0.9197,0.37184677734375,0.8803
full,28,0.2168466015625,0.92524,0.33497412109375,0.8879
full,29,0.19950615234375,0.93248,0.3581363037109375,0.8818
full,30,0.192654765625,0.9337,0.3911372802734375,0.8698
full,31,0.176793203125,0.93912,0.358497021484375,0.8858
full,32,0.1639327734375,0.94276,0.3431471923828125,0.8909
full,33,0.14242732421875,0.95208,0.269572119140625,0.9144
full,34,0.13466375,0.95402,0.2996665771484375,0.9014
full,35,0.120130087890625,0.95838,0.275857763671875,0.9122
full,36,0.10406140625,0.9648,0.2850119140625,0.9113
full,37,0.086891943359375,0.9701,0.2720815185546875,0.9186
full,38,0.074452939453125,0.97478,0.250591357421875,0.9214
full,39,0.0594814013671875,0.97956,0.233524951171875,0.9312
full,40,0.04657990234375,0.98494,0.2463648681640625,0.9278
full,41,0.03402574951171875,0.98912,0.238951123046875,0.9317
full,42,0.028532919921875,0.9914,0.219534130859375,0.9349
full,43,0.01895822998046875,0.9945,0.2169182373046875,0.9384
full,44,0.0147428955078125,0.99624,0.2089427978515625,0.9389
full,45,0.01100977294921875,0.99758,0.20284915771484374,0.9433
full,46,0.009619374389648437,0.99788,0.19939566650390625,0.9443
full,47,0.007778360595703125,0.99828,0.1978305908203125,0.9453
full,48,0.007171318969726562,0.99856,0.20051981201171876,0.9446
full,49,0.0062667388916015625,0.99896,0.199175927734375,0.945
full,50,0.00636491455078125,0.99876,0.20068941650390626,0.9448
random,1,1.98298765625,0.27728,1.695927734375,0.354
random,2,1.49963609375,0.43704,1.5459021484375,0.4516
random,3,1.25753625,0.53952,1.27385107421875,0.5383
random,4,1.04611765625,0.62308,1.2514767578125,0.5586
random,5,0.924890546875,0.671,1.0743115234375,0.6267
random,6,0.819371796875,0.70956,1.1020505859375,0.6293
random,7,0.7320253125,0.74596,0.91944541015625,0.6816
random,8,0.66531125,0.76884,1.1049478515625,0.6648
random,9,0.6089620703125,0.7906,0.720363818359375,0.7563
random,10,0.5602176171875,0.80684,0.654618603515625,0.7787
random,11,0.5307075,0.81612,0.73234619140625,0.7505
random,12,0.5186388671875,0.8218,0.646153173828125,0.7837
random,13,0.479892734375,0.8338,0.6714294921875,0.7773
random,14,0.4482684375,0.84448,0.63628046875,0.7882
random,15,0.4288661328125,0.85268,0.56805654296875,0.813
random,16,0.414405625,0.85612,0.663832568359375,0.783
random,17,0.3932626171875,0.86416,0.68602763671875,0.7795
random,18,0.38511453125,0.86916,0.67716904296875,0.7864
random,19,0.3636459765625,0.87452,0.613299951171875,0.805
random,20,0.3449923828125,0.88032,0.63760068359375,0.8043
random,21,0.323263984375,0.88796,0.538316845703125,0.822
random,22,0.30891716796875,0.89164,0.564293212890625,0.8234
random,23,0.2941435546875,0.89912,0.64338916015625,0.8039
random,24,0.285103515625,0.90124,0.51453955078125,0.8329
random,25,0.2613710546875,0.91132,0.487793310546875,0.8435
random,26,0.24095943359375,0.91584,0.457190869140625,0.8514
random,27,0.2326698046875,0.9206,0.439344140625,0.8651
random,28,0.20757748046875,0.9272,0.50553798828125,0.8424
random,29,0.1997016015625,0.93096,0.420494091796875,0.8634
random,30,0.17935484375,0.9368,0.491319091796875,0.8497
random,31,0.159908603515625,0.94412,0.50041376953125,0.8515
random,32,0.147795078125,0.94876,0.467485302734375,0.8588
random,33,0.1295369140625,0.95412,0.47934541015625,0.8614
random,34,0.1136258984375,0.95984,0.436576953125,0.8746
random,35,0.089059560546875,0.97024,0.415167431640625,0.8826
random,36,0.0785864306640625,0.97412,0.418756396484375,0.8852
random,37,0.0643154345703125,0.9788,0.3638614501953125,0.8989
random,38,0.047051015625,0.98516,0.354404052734375,0.901
random,39,0.0406611279296875,0.98708,0.3727676025390625,0.8975
random,40,0.03017884765625,0.99136,0.3514003662109375,0.9025
random,41,0.02078509521484375,0.9946,0.3522580322265625,0.9059
random,42,0.01666728515625,0.99552,0.3500122802734375,0.9097
random,43,0.015689788818359376,0.99608,0.3510999267578125,0.9076
random,44,0.011482249755859375,0.9974,0.337322314453125,0.9133
random,45,0.009475797119140626,0.99812,0.335564404296875,0.9145
random,46,0.007903472290039062,0.99876,0.3357440185546875,0.9143
random,47,0.007097596435546875,0.999,0.3403041748046875,0.9138
random,48,0.007034116821289063,0.99904,0.3377618408203125,0.9148
